Sorting - step1,Sorting-step1_Process_time,Sorting - step2,Sorting-step2_Process_time,Sorting - step3,Sorting-step3_Process_time
aaaxccqpgojk,6.120987899999999,aaaxccqpgojk,9.9707357,aaaxccqpgojk,19.766483000000004
aabqopzgfunih,6.120987899999999,aabqopzgfunih,9.9707357,aabqopzgfunih,19.766483000000004
aaetzrngecvxbq,6.120987899999999,aaetzrngecvxbq,9.9707357,aaetzrngecvxbq,19.766483000000004
aaezuxsqlkw,6.120987899999999,aaezuxsqlkw,9.9707357,aaezuxsqlkw,19.766483000000004
aafxsqdqffzpo,6.120987899999999,aafxsqdqffzpo,9.9707357,aafxsqdqffzpo,19.766483000000004
aageghavjrc,6.120987899999999,aageghavjrc,9.9707357,aageghavjrc,19.766483000000004
aaierhyouhcu,6.120987899999999,aaierhyouhcu,9.9707357,aaierhyouhcu,19.766483000000004
aaijrronh,6.120987899999999,aaijrronh,9.9707357,aaijrronh,19.766483000000004
aajxzrdpkv,6.120987899999999,aalvuzbsy,9.9707357,aalvuzbsy,19.766483000000004
aalvuzbsy,6.120987899999999,aamfegdp,9.9707357,aamfegdp,19.766483000000004
aamfegdp,6.120987899999999,aamfkjwnyorer,9.9707357,aamfkjwnyorer,19.766483000000004
aamfkjwnyorer,6.120987899999999,aamfyo,9.9707357,aamfyo,19.766483000000004
aamfyo,6.120987899999999,aanayvqvmcnf,9.9707357,aanayvqvmcnf,19.766483000000004
aanayvqvmcnf,6.120987899999999,aanayvqvmcnf,9.9707357,aanayvqvmcnf,19.766483000000004
aaogynybqzs,6.120987899999999,aaogynybqzs,9.9707357,aaogynybqzs,19.766483000000004
aaohwtamhi,6.120987899999999,aaohwtamhi,9.9707357,aaohwtamhi,19.766483000000004
aaphzoou,6.120987899999999,aaphzoou,9.9707357,aaphzoou,19.766483000000004
aapkrucrsyuce,6.120987899999999,aapkrucrsyuce,9.9707357,aapkrucrsyuce,19.766483000000004
aarwsdoujmd,6.120987899999999,aarwsdoujmd,9.9707357,aarwsdoujmd,19.766483000000004
aatblp,6.120987899999999,aatblp,9.9707357,aatblp,19.766483000000004
aatpjb,6.120987899999999,aauhzqkhkgr,9.9707357,aauhzqkhkgr,19.766483000000004
aauhzqkhkgr,6.120987899999999,aaxbzzbok,9.9707357,aaxbzzbok,19.766483000000004
aaxbzzbok,6.120987899999999,aaxwrpbz,9.9707357,aaxwrpbz,19.766483000000004
